,Batch_OGD_name,Batch_OGD_Technicien,Batch_OGD_KC8_batch,Batch_OGD_Temperature,Batch_OGD_Agitation,Batch_OGD_room_HR,Batch_OGD_room_T,Batch_OGD_Analyses,conc_KC8,month_production,day_production_start,days_exfo,exfo_gde_maree
298,2435B,JP,2024-K34,32.0,230.0,33.0,24.0,1,0.04,8,27,5.0,0.0
299,2435C,JP,2024-K34,32.0,230.0,33.0,24.0,1,0.04,8,27,5.0,0.0
300,2435D,JP,2024-K34,32.0,230.0,58.0,23.0,1,0.04,8,29,4.0,0.0
301,2435E,JP,2024-K34,32.0,230.0,58.0,23.0,1,0.04,8,29,4.0,0.0
302,2435F,JP,2024-K34,32.0,230.0,58.0,23.0,1,0.04,8,29,4.0,0.0
303,2436A,JP,2024-K34,31.0,230.0,60.0,23.0,1,0.04,9,3,6.0,0.0
304,2436B,JP,2024-K34,31.0,230.0,60.0,23.0,1,0.04,9,3,6.0,0.0
305,2436C,JP,2024-K34,31.0,230.0,60.0,23.0,1,0.04,9,3,6.0,0.0
306,2436D,JP,2024-K33,31.0,230.0,52.0,21.0,1,0.04,9,5,4.0,0.0
307,2436E,JP,2024-K33,31.0,230.0,52.0,21.0,1,0.04,9,5,5.0,0.0
308,2436F,JP,2024-K33,31.0,230.0,52.0,21.0,1,0.04,9,5,5.0,0.0
309,2436G,JP,2024-K33,31.0,230.0,52.0,21.0,1,0.04,9,5,5.0,0.0
310,2436H,JP,2024-K33,31.0,230.0,52.0,21.0,1,0.04,9,5,5.0,0.0
311,2437A,JP,2024-K36,31.0,230.0,47.0,23.0,1,0.04,9,9,7.0,0.0
312,2437B,JP,2024-K36,31.0,230.0,47.0,23.0,1,0.04,9,9,7.0,0.0
313,2437C,JP,2024-K36,31.0,230.0,47.0,23.0,1,0.04,9,9,7.0,0.0
314,2437D,JP,2024-K36,31.0,230.0,47.0,23.0,1,0.04,9,9,7.0,0.0
315,2438B,JP,2024-K36,29.0,230.0,43.0,21.0,1,0.04,9,17,6.0,1.8333333333333333
316,2438D,JP,2024-K36,29.0,230.0,43.0,21.0,1,0.04,9,17,6.0,1.8333333333333333
317,2439B,LD,2024-K36,29.0,230.0,53.0,22.0,1,0.04,9,24,5.0,0.0
318,2439D,LD,2024-K36,29.0,230.0,53.0,22.0,1,0.04,9,24,5.0,0.0
