Batch_id,Batch_name,Batch_THF_ref,Batch_id,Date,Technicien_id,Batch_KC8,Masse_KC8,Volume_THF,Ref_plaque,Vitesse_agitation,Heure_debut,Lab_HR,Lab_T,BaG_T,BaG_H2O_ppm,BaG_O2_ppm,Observations,Batch_id,Date,Technicien_id,Ajout_THF_JourJ,Heure_ajout2,Volume_THF_ajout2,Heure_debut_sedimentation,Heure_fin_sedimentation,Sediments,Ctrl_visuel_couleur,Lab_HR,Lab_T,BaG_T,BaG_H2O_ppm,BaG_O2_ppm,Observations,Centrifugation,Batch_id,Date,Technicien_id,Debit_air_synthetique,Temps_oxidation,Lab_HR,Lab_T,Observations,Batch_id,Date,Technicien_id,m_OGD,m_THF,Abs_800,QC_Conc_OGD,QC_Categorie,Stockage_recipient,Stockage_Emplacement,Stockage_Utilisation,Observations
14,2305A,NA,14,2023-02-01,2,K04,5.0,500.0,1,230.0,2023-02-01 09:15:00,27.0,22.0,0.0,0.09,0.09,KF 12.7 PPM,14,2023-02-07,7,0,2023-02-07 00:00:00,500.0,2023-02-07 12:30:00,2023-02-07 13:00:00,,VERT BLEU,20.0,22.0,29.0,0.09,0.0,SURNAGEANT TRANSFERE BOUTEILLE => RESTE A CENTRI,1,14,2023-02-07,7,0.1,0.0,25.0,24.0,OXYDATION EN BOUTEILLE,14,2023-02-07,1,0.326,3.043,0.61,0.61,-1,,,,None
15,2305B,NA,15,2023-02-02,3,K04,5.0,500.0,2,230.0,2023-02-02 09:00:00,24.9,22.1,0.0,29.3,0.09,ERLENMEYER B,15,2023-02-08,3,0,2023-02-08 00:00:00,500.0,2023-02-08 09:00:00,2023-02-08 09:30:00,NOIR ET UN PEU OR,ORANGE FONCE,0.0,21.8,29.3,0.09,0.0,,1,15,2023-02-08,3,0.0,0.0,20.1,22.3,DANS UN PETIT VIAL,15,2023-02-08,3,0.267,2.759,0.0453,0.453,-1,,,,None
16,2305C,NA,16,2023-02-03,2,K04,5.0,500.0,3,230.0,2023-02-03 10:30:00,22.0,22.0,0.0,0.09,0.09,,16,2023-02-09,3,0,2023-02-09 09:45:00,500.0,2023-02-09 09:15:00,2023-02-09 09:45:00,,VERT BLEU,0.0,21.6,0.0,0.0,0.0,SURNAGEANT EN BAG - RESTE POUR CENTRI,1,16,2023-02-09,7,0.1,0.0,27.0,19.0,,16,2023-02-09,1,0.373,2.802,0.56,0.56,-1,,,,None
17,2305D,Me-THF,17,2023-02-03,7,K05,4.0,400.0,4,230.0,2023-02-03 17:58:00,22.0,23.0,0.0,0.09,0.2,POUR R&D,17,2023-02-09,7,0,2023-02-09 09:15:00,400.0,2023-02-09 09:00:00,2023-02-09 09:30:00,NOIR ET DORE,JAUNE ORANGE,0.0,21.0,29.0,0.09,0.0,,1,17,2023-02-09,7,0.1,0.0,0.0,22.0,,17,2023-02-09,1,0.0,0.0,0.0,0.27,-1,,,,None
18,2306A,NA,18,2023-02-08,3,K05,5.0,500.0,1,230.0,2023-02-08 16:25:00,0.0,23.5,0.0,0.09,0.6,,18,2023-02-14,3,0,2023-02-14 00:00:00,500.0,2023-02-14 09:40:00,2023-02-14 10:10:00,BCP OR ET NOIR,JAUNE CLAIR,21.0,21.0,29.0,0.09,0.0,FAILE VOLUME,1,18,2023-02-14,3,0.04,0.0,37.9,23.9,BATCH EN SHLENK 1L - CONDITION PAGE SUIVANTE,18,2023-02-14,1,0.0,0.0,0.0,0.22,-1,,,,None
20,2307A,NA,20,2023-02-15,2,K05,5.0,500.0,1,230.0,2023-02-15 10:40:00,27.0,21.5,0.0,0.09,0.9,,20,2023-02-21,2,0,2023-02-21 00:00:00,500.0,2023-02-21 09:25:00,2023-02-21 10:25:00,NOIR,ORANGE,27.0,22.0,30.0,0.09,0.0,TUBE 3 JRS DANS ETUVE ETEINTE,1,20,2023-02-21,2,0.1,0.0,30.0,23.0,STOCKE SOUS ARGON,20,2023-02-21,1,0.0,0.0,0.0,0.42,-1,,,,None
23,2308A,NA,23,2023-02-21,2,K07,5.0,500.0,1,230.0,2023-02-21 09:25:00,27.0,22.0,0.0,0.09,0.09,,23,2023-02-27,2,0,2023-02-27 11:35:00,500.0,2023-02-27 09:35:00,2023-02-27 10:05:00,NOIR ET OR,BRUN VERT,0.0,21.0,29.0,0.09,0.0,2EME AJOUT THF A J-3,1,23,2023-02-27,2,0.1,0.0,0.0,23.0,,23,2023-02-27,1,0.316,3.003,0.0,0.258,-1,,,,None
24,2308B,NA,24,2023-02-22,3,K07,5.0,500.0,2,230.0,2023-02-22 10:05:00,41.1,22.5,0.0,0.09,0.09,FACONISA POUR AJOUT THF,24,2023-02-28,3,0,2023-02-28 09:20:00,500.0,2023-02-28 08:30:00,2023-02-28 09:00:00,OR ET NOIR,JAUNE,0.0,20.1,28.5,0.09,0.0,,1,24,2023-02-28,2,0.1,0.0,0.0,23.0,,24,2023-03-28,1,0.303,3.021,0.0,0.528,-1,,,,None
25,2308C,NA,25,2023-02-23,2,K07,5.0,500.0,3,230.0,2023-02-23 09:11:00,29.0,22.0,0.0,0.09,0.2,,25,2023-03-01,2,0,2023-03-01 09:00:00,500.0,2023-03-01 09:15:00,2023-03-01 09:45:00,NOIR ET OR,BRUN ORANGé,0.0,21.0,28.0,0.09,0.0,,1,25,2023-03-01,2,0.1,0.0,0.0,23.0,,25,2023-03-01,1,0.307,3.051,0.0,0.449,-1,,,,None
27,2309A,NA,27,2023-03-01,2,K07,5.0,500.0,1,230.0,2023-03-01 09:10:00,0.0,21.0,0.0,0.09,0.7,KC8 DS ERLENMEYER 1 JOUR AVT - LEGEREMENT IMBIBE DE THF,27,2023-03-07,2,0,2023-03-07 00:00:00,0.0,2023-03-07 09:15:00,2023-03-07 09:55:00,,VERT BRUN,0.0,21.6,28.5,0.09,0.0,,1,27,2023-03-07,2,0.11,0.0,20.2,22.2,MIS AU FRIGO DS SHLENK A FOND PLAT SOUS ARGON,27,2023-03-07,1,0.322,3.085,0.0,0.575,-1,,,,None
28,2309B,NA,28,2023-03-02,3,K07,5.0,500.0,2,230.0,2023-03-02 12:00:00,0.0,23.3,0.0,0.09,0.7,,28,2023-03-08,3,0,2023-03-08 09:46:00,500.0,2023-03-08 09:30:00,2023-03-08 10:00:00,NOIR ET OR,JAUNE ASSEZ CLAIR,30.2,22.4,29.3,0.09,0.0,AJOUT THF A J-2,1,28,2023-03-08,2,0.1,0.0,37.0,24.0,,28,2023-03-08,7,0.295,2.983,0.0,0.515,-1,,,,None
29,2309C,NA,29,2023-03-03,2,K07,5.0,500.0,3,230.0,2023-03-03 10:40:00,0.0,22.0,0.0,0.09,0.7,AJOUTER CASES AJOUT ET OPERATEUR,29,2023-03-09,2,0,2023-03-09 00:00:00,0.0,2023-03-09 09:35:00,2023-03-09 10:10:00,NOIR BRONZE,BRIN ORANGé,36.0,23.0,30.0,0.09,0.0,COLORATION ROSE POUR 1ER SURNA DONC JETE,1,29,2023-03-09,2,0.1,0.0,37.0,24.0,,29,2023-03-09,7,0.312,3.1,0.0,0.423,-1,BTL,FRIGO,,None
30,2310A,NA,30,2023-03-07,2,K10,5.0,500.0,1,230.0,2023-03-07 09:15:00,0.0,21.6,0.0,0.09,1.0,,30,2023-03-13,2,0,2023-03-13 09:10:00,500.0,2023-03-13 09:50:00,2023-03-13 10:25:00,NOIR ET BRONZE,VERT NOIR,43.8,22.8,29.0,0.09,0.0,RINCAGE AVEC OGD - COLORATION ROSE,1,30,2023-08-13,2,0.1,0.0,37.0,24.0,,30,2023-03-13,7,0.318,3.17,0.0,0.516,-1,,,,None
31,2310B,NA,31,2023-03-08,3,K10,5.0,500.0,2,230.0,2023-03-08 09:30:00,31.3,21.6,0.0,0.09,0.7,,31,2023-03-14,3,0,2023-03-14 09:15:00,500.0,2023-03-14 08:55:00,2023-03-14 09:25:00,NOIR ET OR,ORANGE,34.1,22.2,29.3,0.09,0.0,SORTIE LE JOUR MEME DE RECEPTION,1,31,2023-03-14,3,0.1,0.0,30.9,23.1,,31,2023-03-14,7,0.0,0.0,0.0,0.389,-1,,,,None
32,2310C,NA,32,2023-03-09,2,K10,5.0,500.0,3,230.0,2023-03-09 09:30:00,36.0,23.0,0.0,0.09,0.9,,32,2023-03-15,2,0,2023-03-15 08:45:00,500.0,2023-03-15 09:20:00,2023-03-15 09:55:00,NOIR ET BRONZE,BRUN,35.0,23.0,30.0,0.09,0.0,,1,32,2023-03-15,2,0.1,0.0,33.0,24.0,,32,2023-03-15,2,0.306,3.08,0.0,0.572,-1,,,,None
33,2310D,NA,33,2023-03-10,2,K10,10.0,500.0,4,230.0,2023-03-10 08:30:00,29.6,23.0,0.0,0.09,1.2,,33,2023-03-16,3,0,2023-03-16 09:10:00,500.0,2023-03-16 10:00:00,2023-03-16 10:30:00,NOIR ET OR,,28.9,23.1,0.0,0.09,0.09,MIS EN BOUTEILLE 1L,1,33,2023-03-16,3,0.3,0.0,32.0,25.0,PETIT FLACON,33,2023-03-16,2,0.297,2.932,0.0,1.004,-1,,,R&D,R&D
34,2311A,NA,34,2023-03-15,2,K10,5.0,500.0,1,230.0,2023-03-15 09:15:00,35.0,23.0,0.0,0.09,0.3,,34,2023-03-21,2,0,2023-03-21 09:40:00,500.0,2023-03-21 09:50:00,2023-03-21 10:22:00,NOIR ET OR,BRUN ORANGE,27.2,23.2,30.0,0.09,0.0,,1,34,2023-03-21,2,0.1,0.0,31.4,24.0,,34,2023-03-21,1,0.305,3.202,0.0,0.36,-1,,,,None
35,2311B,NA,35,2023-03-16,3,K10,5.0,500.0,2,230.0,2023-03-16 09:10:00,28.8,22.7,0.0,0.09,0.09,PAS DE CLIP PENDANT 90MIN AU DEBUT,35,2023-03-22,3,0,2023-03-22 00:00:00,500.0,2023-03-22 10:05:00,2023-03-22 10:35:00,NOIR ET OR,JAUNE ORANGé,35.1,20.9,28.2,0.09,0.0,,1,35,2023-03-22,3,0.1,0.0,34.8,22.8,,35,2023-03-22,1,0.34,2.916,0.0345,0.345,-1,,,,None
36,2311C,NA,36,2023-03-17,2,K MIX,10.0,500.0,3,230.0,2023-03-17 12:20:00,32.7,24.0,0.0,0.09,0.09,MIX DE POTASSIUM 3/4/7/10,36,2023-03-23,2,0,2023-03-23 09:30:00,500.0,2023-03-23 09:15:00,2023-03-23 09:50:00,NOIR,BRUN,37.5,22.7,29.3,0.09,0.0,STOCKE BaG,1,36,2023-03-23,2,0.03,0.0,33.0,24.0,AUTRE BACTH OX A 0.1NLMIN ET ENVOYE CLIENT,36,2023-03-23,2,0.311,3.031,0.172,0.84,-1,,,,None
37,2312A,NA,37,2023-03-22,6,K12,5.032,500.0,1,230.0,2023-03-22 09:45:00,35.0,20.8,0.0,0.09,0.09,SHOOT O2 DANS BaG,37,2023-03-28,6,0,2023-03-28 11:00:00,500.0,2023-03-28 10:17:00,2023-03-28 11:00:00,NOIR OR,BRUN ORANGE FONCE,23.5,23.0,29.6,0.09,0.0,AJOUT THF 1H AVANT SEDIMENTATION,1,37,2023-03-28,6,0.1,0.0,24.0,24.0,,37,2023-03-28,6,0.289,2.964,0.0,0.58,-1,,,,None
38,2312B,NA,38,2023-03-23,2,K12,4.99,500.0,2,230.0,2023-03-23 09:10:00,37.5,22.7,0.0,0.09,0.3,SHOOT O2 DANS BaG,38,2023-03-29,2,0,2023-03-29 12:20:00,500.0,2023-03-29 09:20:00,2023-03-29 09:55:00,NOIR ET BRONZE,BRUN,29.0,21.0,27.0,0.09,0.0,,1,38,2023-03-29,2,0.1,0.0,29.0,23.0,,38,2023-03-29,1,0.0,0.0,0.0,0.64,-1,,,,None
40,2313A,NA,40,2023-03-29,2,K12,5.0,500.0,1,230.0,2023-03-29 09:30:00,29.0,21.0,0.0,0.09,2.9,ERLENMEYER C,40,2023-04-04,2,0,2023-04-04 09:40:00,500.0,2023-04-04 09:20:00,2023-04-04 09:53:00,NOIR BRONZE,BRUN,23.8,22.0,29.2,0.05,0.0,,1,40,2023-04-04,2,0.1,0.0,21.0,23.0,,40,2023-04-04,1,0.295,0.0,0.0,0.55,-1,,,,None
41,2313B,NA,41,2023-03-30,1,K12,5.0094,500.0,2,230.0,2023-03-30 09:00:00,37.0,23.0,0.0,0.09,0.09,HEURE AJOUT THF DIFFEREN HEURE DEBUT EXFO???,41,2023-04-05,6,0,2023-04-05 05:40:00,500.0,2023-04-05 10:35:00,2023-04-05 11:05:00,NOIR ET ROSE,ORANGE ET ROSE,20.3,22.6,0.0,0.2,0.09,COULEUR ROSE APRES CENTRI,1,41,2023-04-05,6,0.1,0.0,20.0,24.2,,41,2023-04-05,1,0.328,3.054,0.0,0.4,-1,,,,None
42,2313C,NA,42,2023-03-31,2,K21,10.0,500.0,10,230.0,2023-03-31 10:49:00,32.0,24.0,0.0,0.09,0.09,BATCH POUR R&D,42,2023-03-06,2,0,2023-03-06 00:00:00,500.0,2023-03-06 09:20:00,2023-03-06 09:50:00,NOIR ET BRONZE,BRUN,25.0,22.0,0.0,0.09,0.2,,1,42,2023-03-06,2,0.1,0.0,21.0,23.0,RAS,42,2023-03-06,1,0.0,0.0,0.0,0.61,-1,,,,None
